NAME	TITLE	SCORE	
CCR8		2.8164713	
DHX33		2.8154461	
RPS27A		2.8150234	
WDR46		2.812358	
MACC1		2.8120582	
SLC16A10		2.8093278	
DPH1		2.8085084	
HYAL2		2.8065975	
AK2		2.806329	
CD72		2.8054008	
TOMM70A		2.8050597	
DLST		2.804435	
DPH3		2.8006492	
GADD45GIP1		2.7986124	
PSME2B		2.7975352	
SERBP1		2.7919688	
MTHFD1		2.7910607	
SUPV3L1		2.7905133	
ALG13		2.789573	
ATIC		2.7891526	
DHRS3		2.7890596	
EIF3E		2.7856941	
TTC27		2.784263	
TRA2A		2.78412	
CIART		2.7815835	
TARS		2.781351	
NOL11		2.779347	
SURF2		2.7793314	
LSM3		2.7766259	
MRPL19		2.7763102	
MED29		2.7748685	
MTX2		2.7739375	
ABCE1		2.7715657	
SLC52A2		2.767543	
TRMT11		2.7660491	
PSMA3		2.7659729	
AGPAT5		2.762189	
RPS4X		2.7600644	
FAM185A		2.756758	
MCCC2		2.7535024	
EIF2B3		2.750967	
CDYL2		2.750088	
MRPS28		2.7475832	
SFXN1		2.7396638	
LSM7		2.7350938	
UBE2W		2.7296674	
RPL15		2.7212675	
IDH3A		2.7161849	
MRPL1		2.713286	
CAD		2.7120721	
RPS2		2.711987	
TIMM17A		2.7081373	
SP140		2.7050784	
NUDC		2.70239	
OLA1		2.699126	
ST13		2.6957586	
UTP18		2.6956472	
MRPS15		2.6930547	
RPL10		2.6917613	
MRPS34		2.6900136	
HRSP12		2.6897264	
UTP20		2.6815293	
UBQLN4		2.679077	
PSMA5		2.6788905	
CYC1		2.6759017	
TSEN2		2.673909	
SDHD		2.6709504	
WRB		2.6701667	
VDAC2		2.6691906	
TAF1D		2.6683939	
MYO1E		2.6653607	
IL7R		2.6633542	
EIF3D		2.6590958	
USP10		2.6575677	
TRABD		2.6554666	
ALAD		2.6503446	
L2HGDH		2.642983	
GART		2.6419854	
RARA		2.6405277	
RPL3		2.6358345	
NAA20		2.6348088	
NDUFB6		2.6324508	
MMACHC		2.6323752	
EIF4B		2.6312215	
ACAD9		2.624997	
SAC3D1		2.6246696	
GM3636		2.6241944	
ATP7A		2.623284	
RNMTL1		2.623073	
BCL7C		2.6211886	
REEP3		2.6201391	
TRMT1		2.6196148	
